line,selector,risk,props,comment
7377,.child-lock-overlay,position,"position: fixed inset: 0 z-index: 1200 display: flex align-items: center justify-content: center padding: max(18px, env(safe-area-inset-top)) max(18px, env(safe-area-inset-right)) max(18px, env(safe-area-inset-bottom)) max(18px, env(safe-area-inset-left)) background: rgba(255, 255, 255, 0.68)",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
7394,.child-lock-card,size-vh/%,"width: min(100%, 390px) border: 1px solid rgba(144, 92, 102, 0.22) border-radius: 28px background: rgba(255, 255, 255, 0.94) padding: 22px text-align: center box-shadow: 0 22px 55px rgba(73, 50, 58, 0.18)",要確認。線路外なら見えづらさの原因候補。
7431,.unlock-hold-button,size-vh/%,"width: 100% min-height: 64px margin-top: 18px border: none border-radius: 20px background: linear-gradient(135deg, #e6002d, #ff6b7e) color: #fff font: inherit",要確認。線路外なら見えづらさの原因候補。
7451,.unlock-progress-track,size-vh/%,"display: block width: calc(100% - 34px) height: 7px margin: 9px auto 0 overflow: hidden border-radius: 999px background: rgba(255, 255, 255, 0.45)",要確認。線路外なら見えづらさの原因候補。
7461,.unlock-progress-bar,size-vh/%,display: block width: 0% height: 100% border-radius: inherit background: #fff,要確認。線路外なら見えづらさの原因候補。
7493,/* ========================================================= Stage 25: HTML表示順の安定化 - タイマー画面の可視DOM順を 線路切替 → 線路 → 現在区間/次の駅 → 操作 → 時間追加 に統一 - 非表示データソースはレイアウトに参加させない ========================================================= */ #pageTimer .timer-route-heading-source,position / !important,"position: absolute !important width: 1px !important height: 1px !important padding: 0 !important overflow: hidden !important clip: rect(0, 0, 0, 0) !important white-space: nowrap !important border: 0 !important",要確認。線路外なら見えづらさの原因候補。
7513,#pageTimer .active-train-summary--timer-page,size-vh/%,justify-self: center max-width: 100% margin: 6px auto 0,要確認。線路外なら見えづらさの原因候補。
7554,/* ========================================================= Stage 26：線路エリアだけ％配置に限定 - 線路表示領域を独立した stage として固定 - 残り時間カードは通常レイアウトに戻し、top/left/% 依存をなくす - ％指定は駅・電車・進行バーなど線路内の進行表現だけに限定 ========================================================= */ .railway-stage,size-vh/%,--rail-x-inset: 34px --rail-y: 96px --rail-y-start: 36px --rail-x-total-inset: 68px --rail-y-total-inset: 72px --rail-x: 35% display: grid gap: 12px,要確認。線路外なら見えづらさの原因候補。
7577,.railway-stage .railway-track,size-vh/%,min-width: 0 max-width: 100%,線路内表示だが、残り時間や通知は重なり確認が必要。
7593,.railway-stage.railway-preview--horizontal .railway-track--horizontal,size-vh/%,grid-row: 2 height: 100% min-height: 210px padding-right: var(--rail-x-inset) padding-left: var(--rail-x-inset),線路内表示だが、残り時間や通知は重なり確認が必要。
7608,.railway-stage.railway-preview--vertical .railway-track--vertical,size-vh/%,grid-column: 1 grid-row: 1 height: 100% min-height: 320px,線路内表示だが、残り時間や通知は重なり確認が必要。
7622,/* 円形線路：線路と残り時間を同じ grid area に置き、中央寄せで安定させる */ .railway-stage.railway-preview--circle,size-vh/%,"grid-template-areas: ""stage"" place-items: center aspect-ratio: 1 / 1 min-height: clamp(320px, 52dvh, 560px) max-height: min(610px, calc(100dvh - 210px))",要確認。線路外なら見えづらさの原因候補。
7644,"/* 残り時間カードは線路外または円中央の通常レイアウト要素として扱う */ .railway-stage .route-time-panel, .railway-preview[data-track-shape=""horizontal""] .route-time-panel, .railway-preview[data-track-shape=""vertical""] .route-time-panel, .railway-preview[data-track-shape=""circle""] .route-time-panel",size-vh/%,"position: relative top: auto left: auto z-index: 14 max-width: min(100%, 230px) transform: none",線路内表示だが、残り時間や通知は重なり確認が必要。
7689,/* タイマー画面では線路領域を明確に独立させる */ #pageTimer .railway-stage,size-vh/% / !important,"min-height: clamp(320px, 54dvh, 640px) !important height: auto overflow: hidden",要確認。線路外なら見えづらさの原因候補。
7705,#pageTimer .railway-stage.railway-preview--circle,size-vh/% / !important,"min-height: clamp(315px, 52dvh, 570px) !important",要確認。線路外なら見えづらさの原因候補。
7717,#pageTimer .railway-stage .railway-track--circle,size-vh/%,"width: min(72vw, 440px, 100%) height: min(72vw, 440px, 100%) min-width: 260px min-height: 260px",線路内表示だが、残り時間や通知は重なり確認が必要。
7727,".railway-stage, #pageTimer .railway-stage",size-vh/% / !important,"min-height: clamp(300px, 48dvh, 430px) !important max-height: min(470px, calc(100dvh - 205px)) aspect-ratio: auto gap: 8px padding: 6px 7px",要確認。線路外なら見えづらさの原因候補。
7767,".railway-stage.railway-preview--circle, #pageTimer .railway-stage.railway-preview--circle",size-vh/% / !important,"min-height: clamp(300px, 45dvh, 390px) !important aspect-ratio: 1 / 1",要確認。線路外なら見えづらさの原因候補。
7781,#pageTimer .railway-stage .railway-track--circle,size-vh/%,"width: min(70vw, 300px, 36dvh) height: min(70vw, 300px, 36dvh) min-width: 230px min-height: 230px",線路内表示だが、残り時間や通知は重なり確認が必要。
7798,#pageTimer .railway-stage,size-vh/% / !important,"min-height: clamp(430px, 54dvh, 560px) !important max-height: 620px",要確認。線路外なら見えづらさの原因候補。
7822,#pageTimer .railway-stage,size-vh/% / !important,"min-height: clamp(500px, 64dvh, 690px) !important max-height: 720px",要確認。線路外なら見えづらさの原因候補。
7843,/* Stage 26 最終上書き：旧メディアクエリの％指定を線路内部変数へ集約 */ #pageTimer .railway-stage .route-time-panel,!important,position: relative !important top: auto !important left: auto !important transform: none !important,線路内表示だが、残り時間や通知は重なり確認が必要。
7851,"#pageTimer .railway-stage .railway-track--horizontal .track-bed, #pageTimer .railway-stage .railway-track--horizontal .track-segment-list",!important,top: var(--rail-y) !important right: var(--rail-x-inset) !important left: var(--rail-x-inset) !important,線路内の進行表現として許容。ただし親高さに依存。
7858,#pageTimer .railway-stage .railway-track--horizontal .station,!important,top: calc(var(--rail-y) - 10px) !important,線路内の進行表現として許容。ただし親高さに依存。
7862,#pageTimer .railway-stage .railway-track--horizontal .train-position,!important,top: calc(var(--rail-y) - 48px) !important,線路内の進行表現として許容。ただし親高さに依存。
7866,"#pageTimer .railway-stage .railway-track--vertical .track-bed, #pageTimer .railway-stage .railway-track--vertical .track-segment-list",!important,top: var(--rail-y-start) !important bottom: var(--rail-y-start) !important left: var(--rail-x) !important,線路内の進行表現として許容。ただし親高さに依存。
7873,"#pageTimer .railway-stage .railway-track--vertical .station, #pageTimer .railway-stage .railway-track--vertical .train-position",!important,left: var(--rail-x) !important,線路内の進行表現として許容。ただし親高さに依存。
7895,#pageTimer .journey-status-grid,!important,grid-row: 3 position: relative z-index: 2 height: auto !important min-height: 0 margin: 0 !important,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
7912,#pageTimer .railway-stage,size-vh/% / !important,"min-height: clamp(460px, 57dvh, 640px) !important max-height: 660px",要確認。線路外なら見えづらさの原因候補。
7925,/* Stage 26 最終上書き：旧3行グリッドを4行に戻し、状態カードを線路外へ固定 */ #pageTimer .railway-card,!important,display: grid !important grid-template-rows: auto auto auto auto !important gap: 10px !important height: auto !important min-height: 0 !important overflow: visible !important,要確認。線路外なら見えづらさの原因候補。
8006,#pageTimer .primary-controls,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) gap: 8px width: 100%",要確認。線路外なら見えづらさの原因候補。
8018,"#pageTimer .control-button, #pageTimer .quick-add-button",size-vh/%,position: static width: 100% min-width: 0 min-height: 48px white-space: normal overflow-wrap: anywhere text-align: center line-height: 1.25,要確認。線路外なら見えづらさの原因候補。
8043,#pageTimer .quick-add-controls,size-vh/%,"display: grid grid-template-columns: repeat(2, minmax(0, 1fr)) gap: 8px width: 100% margin: 0",要確認。線路外なら見えづらさの原因候補。
8176,".quick-routes-card, .active-trains-card, .preset-card, .route-editor-card, .page-intro-card, .summary-card, .settings-overview-card, .guide-card, .about-card",size-vh/%,width: 100% max-width: 100%,要確認。線路外なら見えづらさの原因候補。
8364,".settings-panel--preferences .form-field select, .settings-panel--preferences .form-field input, #pageEdit .form-field select, #pageEdit .form-field input, #pagePresets .form-field input",size-vh/%,width: 100% max-width: 100%,固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
8475,#pageEdit .route-editor-actions,position,position: sticky bottom: 18px,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
8554,"html, body",size-vh/%,width: 100% max-width: 100% min-height: 100dvh overflow-x: hidden,要確認。線路外なら見えづらさの原因候補。
8562,body.page-timer-active,size-vh/%,min-height: 100dvh height: auto overflow-x: hidden overflow-y: auto,要確認。線路外なら見えづらさの原因候補。
8569,body.page-timer-active .app-shell,size-vh/%,min-height: 100dvh height: auto overflow: visible,要確認。線路外なら見えづらさの原因候補。
8575,".app-shell, .app-header, .main-content, .app-page, .railway-card, .timer-actions-card, .mobile-bottom-nav",size-vh/%,max-width: 100%,固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
8609,"body.page-timer-active .main-content, .main-content",size-vh/%,"display: block width: 100% min-height: calc(100dvh - var(--smartphone-header-height)) height: auto padding:
      var(--smartphone-page-gap)
      var(--smartphone-page-inline)
      calc(var(--smartphone-nav-height) + 24px + var(--safe-bottom)) overflow-x: hidden overflow-y: visible",要確認。線路外なら見えづらさの原因候補。
8623,.app-page.is-active,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) gap: var(--smartphone-page-gap) width: 100% min-width: 0",要確認。線路外なら見えづらさの原因候補。
8642,#pageTimer .railway-card,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) grid-template-rows: auto auto auto auto gap: 8px width: 100% min-width: 0 padding: clamp(10px, 2.8vw, 13px) overflow: visible",要確認。線路外なら見えづらさの原因候補。
8672,#pageTimer .railway-preview,size-vh/%,"order: 2 display: grid width: 100% min-width: 0 max-width: 100% height: auto overflow: hidden padding: clamp(6px, 2vw, 10px)",要確認。線路外なら見えづらさの原因候補。
8683,#pageTimer .railway-preview--horizontal,size-vh/% / !important,"min-height: clamp(286px, 42dvh, 370px) !important aspect-ratio: 1 / 0.86",要確認。線路外なら見えづらさの原因候補。
8688,#pageTimer .railway-preview--vertical,size-vh/% / !important,"min-height: clamp(318px, 48dvh, 430px) !important aspect-ratio: 1 / 1.06",要確認。線路外なら見えづらさの原因候補。
8693,#pageTimer .railway-preview--circle,size-vh/% / !important,"min-height: clamp(286px, 42dvh, 380px) !important aspect-ratio: 1 / 0.92 place-items: center",要確認。線路外なら見えづらさの原因候補。
8699,#pageTimer .railway-track--horizontal,size-vh/%,"width: 100% min-width: 0 min-height: 230px height: auto padding-right: clamp(20px, 7vw, 34px) padding-left: clamp(20px, 7vw, 34px)",線路内表示だが、残り時間や通知は重なり確認が必要。
8708,#pageTimer .railway-track--vertical,size-vh/%,"width: min(100%, 390px) min-width: 0 min-height: 300px height: auto margin-inline: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
8716,#pageTimer .railway-track--circle,size-vh/%,"width: min(78vw, 330px) height: min(78vw, 330px) min-width: 250px min-height: 250px max-width: 100% max-height: 100% margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
8732,#pageTimer .journey-status-grid,size-vh/%,"order: 3 display: grid grid-template-columns: repeat(2, minmax(0, 1fr)) gap: 8px width: 100% min-width: 0 margin: 0",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
8759,#pageTimer .active-train-summary--timer-page,size-vh/%,order: 4 width: fit-content max-width: 100% margin: 0 auto padding: 4px 10px font-size: 0.68rem line-height: 1.35,要確認。線路外なら見えづらさの原因候補。
8775,#pageTimer .timer-actions-card,size-vh/%,"display: block width: 100% min-width: 0 padding: clamp(10px, 2.8vw, 13px) border: 1px solid var(--color-border) border-radius: 14px background: #ffffff box-shadow: var(--shadow-card)",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
8786,#pageTimer .timer-actions-layout,size-vh/%,"display: grid grid-template-columns: minmax(0, 1fr) gap: 9px width: 100%",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
8804,"#pageTimer .primary-controls, #pageTimer .quick-add-controls",size-vh/%,position: static display: grid width: 100% min-width: 0 transform: none,要確認。線路外なら見えづらさの原因候補。
8829,"#pageTimer .control-button, #pageTimer .quick-add-button",size-vh/%,width: 100% min-width: 0 min-height: 48px padding: 10px 11px white-space: normal overflow-wrap: anywhere line-height: 1.25,要確認。線路外なら見えづらさの原因候補。
8854,.mobile-bottom-nav,position,"position: fixed z-index: 70 right: max(8px, env(safe-area-inset-right, 0px)) bottom: max(8px, env(safe-area-inset-bottom, 0px)) left: max(8px, env(safe-area-inset-left, 0px)) min-height: var(--smartphone-nav-height) padding: 7px",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
8909,#pageTimer .railway-preview--horizontal,!important,min-height: 264px !important,要確認。線路外なら見えづらさの原因候補。
8913,#pageTimer .railway-preview--vertical,!important,min-height: 296px !important,要確認。線路外なら見えづらさの原因候補。
8917,#pageTimer .railway-preview--circle,!important,min-height: 264px !important,要確認。線路外なら見えづらさの原因候補。
8970,#pageTimer .railway-preview--horizontal,size-vh/% / !important,"min-height: clamp(238px, 32dvh, 316px) !important",要確認。線路外なら見えづらさの原因候補。
8973,#pageTimer .railway-preview--vertical,size-vh/% / !important,"min-height: clamp(258px, 36dvh, 340px) !important",要確認。線路外なら見えづらさの原因候補。
8977,#pageTimer .railway-preview--circle,size-vh/% / !important,"min-height: clamp(238px, 32dvh, 316px) !important",要確認。線路外なら見えづらさの原因候補。
8999,"#pageTimer .railway-preview--horizontal, #pageTimer .railway-preview--circle",!important,min-height: 226px !important,要確認。線路外なら見えづらさの原因候補。
9003,#pageTimer .railway-preview--vertical,!important,min-height: 252px !important,要確認。線路外なら見えづらさの原因候補。
9026,"#pageTimer .railway-preview--horizontal, #pageTimer .railway-preview--circle",!important,height: 238px !important min-height: 238px !important aspect-ratio: auto,要確認。線路外なら見えづらさの原因候補。
9032,#pageTimer .railway-preview--vertical,!important,height: 260px !important min-height: 260px !important aspect-ratio: auto,要確認。線路外なら見えづらさの原因候補。
9054,#pageTimer .railway-stage.railway-preview--horizontal,size-vh/% / !important,"height: clamp(238px, 32dvh, 316px) !important min-height: clamp(238px, 32dvh, 316px) !important max-height: clamp(238px, 32dvh, 316px) !important aspect-ratio: auto !important",要確認。線路外なら見えづらさの原因候補。
9060,#pageTimer .railway-stage.railway-preview--vertical,size-vh/% / !important,"height: clamp(258px, 36dvh, 340px) !important min-height: clamp(258px, 36dvh, 340px) !important max-height: clamp(258px, 36dvh, 340px) !important aspect-ratio: auto !important",要確認。線路外なら見えづらさの原因候補。
9067,#pageTimer .railway-stage.railway-preview--circle,size-vh/% / !important,"height: clamp(238px, 32dvh, 316px) !important min-height: clamp(238px, 32dvh, 316px) !important max-height: clamp(238px, 32dvh, 316px) !important aspect-ratio: auto !important",要確認。線路外なら見えづらさの原因候補。
9074,#pageTimer .railway-stage.railway-preview--circle .railway-track--circle,size-vh/% / !important,"width: min(64vw, 252px, 30dvh) !important height: min(64vw, 252px, 30dvh) !important min-width: 204px !important min-height: 204px !important",線路内表示だが、残り時間や通知は重なり確認が必要。
9084,"#pageTimer .railway-stage.railway-preview--horizontal, #pageTimer .railway-stage.railway-preview--circle",!important,height: 238px !important min-height: 238px !important max-height: 238px !important,要確認。線路外なら見えづらさの原因候補。
9090,#pageTimer .railway-stage.railway-preview--vertical,!important,height: 260px !important min-height: 260px !important max-height: 260px !important,要確認。線路外なら見えづらさの原因候補。
9096,#pageTimer .railway-stage.railway-preview--circle .railway-track--circle,!important,"width: min(62vw, 230px) !important height: min(62vw, 230px) !important min-width: 196px !important min-height: 196px !important",線路内表示だが、残り時間や通知は重なり確認が必要。
9119,"html, body",size-vh/%,width: 100% max-width: 100% min-height: 100dvh overflow-x: hidden,要確認。線路外なら見えづらさの原因候補。
9127,.app-shell,size-vh/%,width: 100% max-width: 100% min-height: 100dvh,要確認。線路外なら見えづらさの原因候補。
9157,.main-content,size-vh/%,"width: 100% max-width: var(--tablet-portrait-content-max) min-height: calc(100dvh - var(--tablet-portrait-header-height)) margin-inline: auto padding: 18px 22px calc(var(--tablet-portrait-nav-height) + 34px + env(safe-area-inset-bottom, 0px)) overflow-x: hidden",要確認。線路外なら見えづらさの原因候補。
9166,".app-page.is-active, #pageTimer.app-page.is-active, #pageEdit.app-page.is-active, #pagePresets.app-page.is-active, #pageSettings.app-page.is-active",size-vh/% / !important,"display: grid grid-template-columns: minmax(0, 1fr) !important grid-template-areas: none !important gap: var(--tablet-portrait-gap) width: 100% max-width: var(--tablet-portrait-content-max) margin-inline: auto align-items: start",要確認。線路外なら見えづらさの原因候補。
9181,"#pageTimer .railway-card, #pageTimer .timer-actions-card, #pageEdit > *, #pagePresets > *, #pageSettings > *",size-vh/% / !important,grid-column: 1 / -1 !important width: 100% min-width: 0 max-width: 100% position: static,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
9211,#pageTimer .railway-preview,size-vh/%,width: 100% max-width: 760px margin-inline: auto padding: 14px,要確認。線路外なら見えづらさの原因候補。
9218,"#pageTimer .railway-stage.railway-preview--horizontal, #pageTimer .railway-preview--horizontal",size-vh/% / !important,"height: clamp(430px, 46dvh, 520px) !important min-height: clamp(430px, 46dvh, 520px) !important max-height: clamp(430px, 46dvh, 520px) !important aspect-ratio: auto !important",要確認。線路外なら見えづらさの原因候補。
9226,"#pageTimer .railway-stage.railway-preview--vertical, #pageTimer .railway-preview--vertical",size-vh/% / !important,"height: clamp(480px, 52dvh, 590px) !important min-height: clamp(480px, 52dvh, 590px) !important max-height: clamp(480px, 52dvh, 590px) !important aspect-ratio: auto !important",要確認。線路外なら見えづらさの原因候補。
9234,"#pageTimer .railway-stage.railway-preview--circle, #pageTimer .railway-preview--circle",size-vh/% / !important,"height: clamp(430px, 46dvh, 520px) !important min-height: clamp(430px, 46dvh, 520px) !important max-height: clamp(430px, 46dvh, 520px) !important aspect-ratio: auto !important place-items: center",要確認。線路外なら見えづらさの原因候補。
9249,#pageTimer .railway-track--vertical,size-vh/%,"width: min(100%, 470px) min-height: 450px margin-inline: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
9255,"#pageTimer .railway-stage.railway-preview--circle .railway-track--circle, #pageTimer .railway-track--circle",size-vh/% / !important,"width: min(58vw, 430px) !important height: min(58vw, 430px) !important min-width: 350px !important min-height: 350px !important max-width: 100% max-height: 100% margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
9266,#pageTimer .route-time-panel,size-vh/%,"max-width: min(340px, 72%) min-height: 92px padding: 12px 16px",線路内表示だが、残り時間や通知は重なり確認が必要。
9284,#pageTimer .timer-actions-card,size-vh/%,"width: min(100%, var(--tablet-portrait-action-max)) max-width: var(--tablet-portrait-action-max) margin-inline: auto padding: 18px border-radius: 20px",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
9384,#pageEdit .route-editor-actions,position,"position: sticky bottom: calc(var(--tablet-portrait-nav-height) + 14px + env(safe-area-inset-bottom, 0px)) grid-template-columns: minmax(0, .85fr) minmax(0, 1.15fr) gap: 12px max-width: var(--tablet-portrait-action-max) margin-inline: auto",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
9398,".settings-panel--preferences, .create-train-panel",size-vh/%,"width: min(92vw, 700px) max-height: min(86dvh, 860px)",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
9409,.mobile-bottom-nav,!important,"display: grid !important right: max(28px, env(safe-area-inset-right, 0px)) bottom: max(14px, env(safe-area-inset-bottom, 0px)) left: max(28px, env(safe-area-inset-left, 0px)) max-width: 720px min-height: var(--tablet-portrait-nav-height) margin-inline: auto padding: 8px",固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
9448,"#pageTimer .railway-stage.railway-preview--horizontal, #pageTimer .railway-stage.railway-preview--circle",size-vh/% / !important,"height: clamp(390px, 44dvh, 470px) !important min-height: clamp(390px, 44dvh, 470px) !important max-height: clamp(390px, 44dvh, 470px) !important",要確認。線路外なら見えづらさの原因候補。
9455,#pageTimer .railway-stage.railway-preview--vertical,size-vh/% / !important,"height: clamp(430px, 50dvh, 520px) !important min-height: clamp(430px, 50dvh, 520px) !important max-height: clamp(430px, 50dvh, 520px) !important",要確認。線路外なら見えづらさの原因候補。
9461,"#pageTimer .railway-stage.railway-preview--circle .railway-track--circle, #pageTimer .railway-track--circle",!important,"width: min(62vw, 370px) !important height: min(62vw, 370px) !important min-width: 310px !important min-height: 310px !important",線路内表示だが、残り時間や通知は重なり確認が必要。
9479,"html, body",size-vh/%,width: 100% max-width: 100% overflow-x: hidden,要確認。線路外なら見えづらさの原因候補。
9485,.app-shell,size-vh/%,width: 100% max-width: 100% min-height: 100dvh,要確認。線路外なら見えづらさの原因候補。
9491,.main-content,size-vh/%,width: 100% max-width: 100% margin-inline: auto overflow-x: hidden,要確認。線路外なら見えづらさの原因候補。
9498,body.page-timer-active .main-content,size-vh/%,"min-height: calc(100dvh - var(--ideal-wide-header-height, 64px)) height: auto",要確認。線路外なら見えづらさの原因候補。
9507,#pageTimer.app-page.is-active,size-vh/% / !important,"display: grid !important grid-template-columns: minmax(0, 1fr) minmax(320px, 380px) grid-template-areas: ""route actions"" gap: clamp(18px, 2.2vw, 28px) align-items: start width: min(100%, 1180px) height: auto margin-inline: auto",要確認。線路外なら見えづらさの原因候補。
9518,#pageTimer .railway-card,!important,"grid-area: route !important min-width: 0 height: auto min-height: 0 display: grid grid-template-rows: auto minmax(0, auto) auto auto gap: 12px",要確認。線路外なら見えづらさの原因候補。
9528,#pageTimer .timer-actions-card,position / size-vh/% / !important,"grid-area: actions !important position: sticky !important top: calc(var(--ideal-wide-header-height, 64px) + 16px) display: grid gap: 12px align-self: start width: 100% max-width: 100%",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
9542,#pageTimer .railway-preview,size-vh/%,width: 100% min-width: 0 max-width: 100% margin-inline: auto,要確認。線路外なら見えづらさの原因候補。
9549,"#pageTimer .railway-stage.railway-preview--horizontal, #pageTimer .railway-preview--horizontal",size-vh/% / !important,"min-height: clamp(420px, 58dvh, 560px) !important max-height: none !important aspect-ratio: 16 / 9",要確認。線路外なら見えづらさの原因候補。
9556,"#pageTimer .railway-stage.railway-preview--vertical, #pageTimer .railway-preview--vertical",size-vh/% / !important,"min-height: clamp(500px, 66dvh, 650px) !important max-height: none !important aspect-ratio: 4 / 5",要確認。線路外なら見えづらさの原因候補。
9563,"#pageTimer .railway-stage.railway-preview--circle, #pageTimer .railway-preview--circle",size-vh/% / !important,"min-height: clamp(440px, 58dvh, 580px) !important max-height: none !important display: grid place-items: center aspect-ratio: 1 / 1",要確認。線路外なら見えづらさの原因候補。
9572,#pageTimer .railway-track--circle,size-vh/% / !important,"width: min(42vw, 500px, 62dvh) !important height: min(42vw, 500px, 62dvh) !important margin: auto",線路内表示だが、残り時間や通知は重なり確認が必要。
9578,#pageTimer .timer-actions-card .journey-status-grid,size-vh/%,"grid-template-columns: minmax(0, 1fr) gap: 10px width: 100% max-width: 100% margin: 0 height: auto",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
9598,#pageTimer .timer-actions-layout,size-vh/%,display: grid gap: 12px width: 100% margin: 0,操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
9624,"#pageTimer .control-button, #pageTimer .quick-add-button",size-vh/%,min-height: 52px width: 100% min-width: 0 white-space: normal,要確認。線路外なら見えづらさの原因候補。
9632,"#pageTimer .completion-panel, #pageTimer .time-addition-history-card",size-vh/%,width: 100% min-width: 0,要確認。線路外なら見えづらさの原因候補。
9638,"#pageTimer .journey-progress, #pageTimer .segment-overview",size-vh/%,width: 100% min-width: 0,要確認。線路外なら見えづらさの原因候補。
9644,"#pagePresets.app-page.is-active, #pageEdit.app-page.is-active, #pageSettings.app-page.is-active",size-vh/%,"width: min(100%, 1180px) max-width: 1180px margin-inline: auto align-items: start",要確認。線路外なら見えづらさの原因候補。
9653,"#pagePresets .quick-route-button, #pagePresets .active-train-add-button, #pagePresets .active-train-button, #pagePresets .preset-action-button, #pagePresets .data-action-button, #pageEdit .apply-button, #pageEdit .cancel-button, #pageSettings .apply-button",size-vh/%,min-height: 50px width: 100% max-width: 100% white-space: normal,要確認。線路外なら見えづらさの原因候補。
9667,"#pagePresets input, #pageEdit input, #pageEdit select, #pageSettings input, #pageSettings select, .settings-panel input, .settings-panel select",size-vh/%,width: 100% max-width: 100% min-width: 0,固定UI・モーダル系。端末高さ、safe-area、キーボードで見切れやすい。
9679,#pagePresets .data-management-card,size-vh/%,"width: 100% max-width: 100% padding: 18px border: 1px solid rgba(213, 228, 239, .92) border-radius: var(--radius-large) background: var(--color-surface) box-shadow: var(--shadow-card)",要確認。線路外なら見えづらさの原因候補。
9704,#pageEdit .route-editor-actions,position,"position: sticky bottom: 18px display: grid grid-template-columns: minmax(0, .85fr) minmax(0, 1.15fr) gap: 12px padding: 12px border: 1px solid rgba(213, 228, 239, .92) border-radius: 16px",操作・カード系。absolute/%ではなくgrid/flex中心に寄せたい。
9734,#pageTimer.app-page.is-active,size-vh/%,"grid-template-columns: minmax(0, 1fr) minmax(310px, 360px) width: min(100%, 1120px)",要確認。線路外なら見えづらさの原因候補。
9835,body.page-timer-active .main-content,size-vh/%,"min-height: calc(100dvh - var(--ideal-pc-header-height, 64px))",要確認。線路外なら見えづらさの原因候補。
9839,#pageTimer.app-page.is-active,size-vh/%,"grid-template-columns: minmax(0, 1fr) 400px width: min(100%, var(--stage33-pc-content-max)) gap: 28px",要確認。線路外なら見えづらさの原因候補。
9850,"#pageTimer .railway-stage.railway-preview--horizontal, #pageTimer .railway-preview--horizontal",size-vh/% / !important,"min-height: clamp(500px, 62dvh, 660px) !important",要確認。線路外なら見えづらさの原因候補。
9855,"#pageTimer .railway-stage.railway-preview--vertical, #pageTimer .railway-preview--vertical",size-vh/% / !important,"min-height: clamp(560px, 68dvh, 720px) !important",要確認。線路外なら見えづらさの原因候補。
9860,"#pageTimer .railway-stage.railway-preview--circle, #pageTimer .railway-preview--circle",size-vh/% / !important,"min-height: clamp(500px, 62dvh, 660px) !important",要確認。線路外なら見えづらさの原因候補。
9865,"#pagePresets.app-page.is-active, #pageEdit.app-page.is-active, #pageSettings.app-page.is-active",size-vh/%,"width: min(100%, var(--stage33-pc-content-max)) max-width: var(--stage33-pc-content-max)",要確認。線路外なら見えづらさの原因候補。
9922,#pageEdit .summary-card,position,"grid-column: 1 position: sticky top: calc(var(--ideal-pc-header-height, 64px) + 18px)",要確認。線路外なら見えづらさの原因候補。
9985,body,size-vh/%,min-height: 100dvh,要確認。線路外なら見えづらさの原因候補。
9989,"button, [role=""button""], input, select, textarea, .mobile-nav-item, .menu-item, .preset-action-button, .data-action-button, .quick-route-button, .apply-button, .cancel-button, .outline-button, .secondary-button",size-vh/%,max-width: 100%,要確認。線路外なら見えづらさの原因候補。
10165,.child-lock-card,size-vh/%,"max-height: calc(100dvh - max(36px, env(safe-area-inset-top)) - max(36px, env(safe-area-inset-bottom))) overflow: auto",要確認。線路外なら見えづらさの原因候補。
10185,"/* ========================================================= Stage 35: My設定・経路編集・設定ページの最終整理 - 管理画面を端末幅ごとに読みやすいカード配置へ整理 - 危険操作を下部に控えめに配置 - 入力欄・操作ボタンの横はみ出しを抑制 ========================================================= */ #pagePresets.app-page.is-active, #pageEdit.app-page.is-active, #pageSettings.app-page.is-active",size-vh/%,"width: 100% max-width: 1180px margin-inline: auto align-content: start gap: clamp(12px, 2vw, 20px)",要確認。線路外なら見えづらさの原因候補。
10207,"#pagePresets input, #pagePresets select, #pagePresets textarea, #pageEdit input, #pageEdit select, #pageEdit textarea, #pageSettings input, #pageSettings select, #pageSettings textarea",size-vh/%,width: 100% max-width: 100%,要確認。線路外なら見えづらさの原因候補。
